"trigger_API","trigger_package","API","package","related_package_version","error_type","error_description"
"keras.optimizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.regularizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.optimizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.regularizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.optimizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.regularizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.14.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.optimizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.14.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"tensorflow._api.v2.train.AdamOptimizer","tensorflow","tensorflow._api.v2.train.AdamOptimizer","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'tensorflow._api.v2.train' has no attribute 'AdamOptimizer'"
"tensorflow._api.v2.train.AdamOptimizer","tensorflow","tensorflow._api.v2.train.AdamOptimizer","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow._api.v2.train' has no attribute 'AdamOptimizer'"
"tensorflow._api.v2.train.AdamOptimizer","tensorflow","tensorflow._api.v2.train.AdamOptimizer","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.2.0""}]","AttributeError","AttributeError: module 'tensorflow._api.v2.train' has no attribute 'AdamOptimizer'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""1.14.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.utils.to_categorical","keras","keras.utils.to_categorical","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'keras.utils' has no attribute 'to_categorical'"
"keras.utils.plot_model","keras","keras.utils.plot_model","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'plot_model' from 'keras.utils'"
"keras.applications.Xception","keras","keras.applications.Xception","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'Xception' from 'keras.applications'"
"tensorflow.ConfigProto","tensorflow","tensorflow.ConfigProto","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'ConfigProto'"
"tensorflow.ConfigProto","tensorflow","tensorflow.ConfigProto","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'ConfigProto'"
"tensorflow.ConfigProto","tensorflow","tensorflow.ConfigProto","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.2.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'ConfigProto'"
"tensorflow.ConfigProto","tensorflow","tensorflow.ConfigProto","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.1.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'ConfigProto'"
"tensorflow.ConfigProto","tensorflow","tensorflow.ConfigProto","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.0.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'ConfigProto'"
"keras.preprocessing.text","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.preprocessing.text","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.preprocessing.text","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.preprocessing.text","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.preprocessing.text","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.preprocessing.text","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.preprocessing.text","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.14.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'tensorflow.keras.layers' has no attribute 'CuDNNLSTM'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow.keras.layers' has no attribute 'CuDNNLSTM'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.keras.layers' has no attribute 'CuDNNLSTM'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.2.0""}]","AttributeError","AttributeError: module 'tensorflow.keras.layers' has no attribute 'CuDNNLSTM'"
"keras.engine.sequential.add","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.applications.VGG16","keras","keras.applications.VGG16","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'VGG16' from 'keras.applications'"
"keras.utils.to_categorical","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.utils.to_categorical","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.utils.to_categorical","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.utils.to_categorical","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.utils.to_categorical","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.utils.to_categorical","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.utils.to_categorical","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.14.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.engine.sequential.add","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.layers.normalization.BatchNormalization","keras","keras.layers.normalization.BatchNormalization","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'BatchNormalization' from 'keras.layers.normalization'"
"tensorflow.placeholder","tensorflow","tensorflow.placeholder","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'placeholder'"
"tensorflow.enable_eager_execution","tensorflow","tensorflow.enable_eager_execution","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'enable_eager_execution'"
"tensorflow.enable_eager_execution","tensorflow","tensorflow.enable_eager_execution","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'enable_eager_execution'"
"tensorflow.enable_eager_execution","tensorflow","tensorflow.enable_eager_execution","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'enable_eager_execution'"
"tensorflow.enable_eager_execution","tensorflow","tensorflow.enable_eager_execution","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.2.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'enable_eager_execution'"
"tensorflow.enable_eager_execution","tensorflow","tensorflow.enable_eager_execution","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.1.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'enable_eager_execution'"
"tensorflow.enable_eager_execution","tensorflow","tensorflow.enable_eager_execution","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.0.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'enable_eager_execution'"
"tensorflow.keras.layers.LSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.LSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.LSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.LSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.LSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.LSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"tensorflow.keras.layers.CuDNNLSTM","tensorflow","tensorflow.keras.layers.CuDNNLSTM","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'CuDNNLSTM' from 'tensorflow.keras.layers'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.optimizers.adam","keras","keras.optimizers.adam","keras","[{""package"": ""keras"", ""version"": ""2.4.3""}]","ImportError","ImportError: cannot import name 'adam' from 'keras.optimizers'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Sequential","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.load_model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Input","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.models.Model","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
